Kode_Bahan,Sumber,Nama_Bahan,Kelompok_Pangan,Jenis_Pangan,Air(g),Energi(Kal),Protein(g),Lemak(g),KH(g),Serat(g),Kalsium(g),Fosfor(g),Besi(g),Natrium(g),Kalium(g),Tembaga(g),Thiamin(g),Riboflavin(g),VITC(g)
GP049,DABM-60/64,Sardines dalam kaleng,"Ikan, Kerang, Udang",Olahan/Produk,47.1,338,21.1,27,1,0,0.354,0.434,0.0035,0,0,0,0.0001,0,0
GP050,KZGPI- 1990,"Teripang, dendeng, mentah","Ikan, Kerang, Udang",Olahan/Produk,12.5,462,39.1,32.4,3.5,0,0.499,0.616,0.0964,0.315,0.4025,0,0.0014,0,0
GP051,KZGMI-2001,"Udang kering, mentah","Ikan, Kerang, Udang",Olahan/Produk,14.9,278,62.6,4.1,2.2,0,0.76,0.51,0.0052,0.54,0.36,0.0024,0,0,0
GP052,KZGMI-2001,"Udang papay, mentah","Ikan, Kerang, Udang",Olahan/Produk,24.5,273,47.8,3.8,12.5,0,1.109,0.789,0.0024,0.651,0.802,0.0026,0,0,0
GP053,KZGMI-2001,Abon haruwan,"Ikan, Kerang, Udang",Olahan/Produk,11.6,513,23.7,37,21.3,0,0.025,0.025,0.0005,0.061,0.015,0,0,0,0
GP054,KZGMI-2001,Abon ikan,"Ikan, Kerang, Udang",Olahan/Produk,6.4,435,27.2,20.2,36.1,0,0,0,0,0,0,0,0,0.0008,0
GP055,KZGMI-2001,"Betok wadi, masakan","Ikan, Kerang, Udang",Olahan/Produk,69.2,145,16.3,7,4.1,0,0.405,0.523,0.0018,0.069,0.203,0.001,0.0002,0,0
GP056,KZGMI-2001,"Bou ninahu ndamate, masakan","Ikan, Kerang, Udang",Olahan/Produk,79.5,79,6.3,1,1.1,0,0,0,0,0.067,0,0,0.0001,0,0
GP057,KZGMI-2001,"Bouiki ninahu nggaluku, masakan","Ikan, Kerang, Udang",Olahan/Produk,73.9,94,7.8,2.2,10.8,0,0,0,0,0.058,0.1794,0,0.0005,0,0
GP058,KZGMI-2001,Cakalang asar (asap),"Ikan, Kerang, Udang",Olahan/Produk,64.3,155,20.1,3.8,10.2,0,0.02,0.24,0.0021,0.09,0.39,0.0003,0,0.0007,0
GP059,KZGPI- 1990,"Dendeng belut, goreng, masakan","Ikan, Kerang, Udang",Olahan/Produk,8.2,382,55.7,14.1,8,0,1.069,0.654,0.0154,0,0,0,0.0005,0,0
GP060,KZGPI- 1990,"Dendeng mujahir, goreng, masakan","Ikan, Kerang, Udang",Olahan/Produk,6.5,598,74.3,26.9,9.2,0,1.957,1.447,0.0074,0,0,0,0.0002,0,0
GP061,KZGMS-1993,Fillet o-fish,"Ikan, Kerang, Udang",Olahan/Produk,51,270,12.3,15.9,19.3,0.2,0.239,0.272,0.0018,0.439,0,0,0.0006,0,0
GP062,KZGMI-2001,"Gete kuah asam,masakan","Ikan, Kerang, Udang",Olahan/Produk,80.1,75,8.2,2,6,0,1.62,0.88,0.0008,0.26,0.15,0.0001,0,0,0
GP063,KZGMI-2001,"Gulai asam keueung, masakan","Ikan, Kerang, Udang",Olahan/Produk,86,52,10,0.5,1.8,0,0.062,0.102,0.0003,0.332,0.141,0,0.0002,0.0003,0
GP065,KZGMS-1993,"Gulai ikan, masakan","Ikan, Kerang, Udang",Olahan/Produk,75.7,106,16.5,3.3,2.5,0,0.306,0.196,0.0048,0.743,0,0,0.0003,0,0
GP064,KZGMI-2001,"Gulai ikan paya, masakan","Ikan, Kerang, Udang",Olahan/Produk,72.1,148,10,9.8,5,0,0.103,0.082,0.0007,0.525,0.256,0.0001,0.0003,0,0
GP066,KGZMI-2001,"Gulai keumamah, masakan","Ikan, Kerang, Udang",Olahan/Produk,81.4,110,5.9,8.2,3.2,0,0.032,0.096,0.001,0.335,0.121,0.0002,0.0003,0,0
GP067,KZGMI-2001,"Gulai tiram, masakan","Ikan, Kerang, Udang",Olahan/Produk,73.1,132,9,7.2,7.8,0,0.053,0.134,0.0037,0.285,0.133,0.0011,0.0003,0.0001,0
GP068,KZGPI- 1990,"Gurame asem manis, masakan","Ikan, Kerang, Udang",Olahan/Produk,63.1,192,12.7,10.1,12.7,0,0.283,0.169,0.0011,0,0,0,0,0,0
GP069,KZGMI-2001,"Ikan asar merah, masakan","Ikan, Kerang, Udang",Olahan/Produk,69.2,146,17.7,5.9,5.6,0,0.1,0.24,0.004,0.17,0.31,0.0003,0,0,0
GP070,KZGMS- 1993,"Jambal goreng, masakan","Ikan, Kerang, Udang",Olahan/Produk,13.4,286,48.5,9.2,2.3,0,0.207,0.457,0.0033,0,0,0,0.0004,0,0
GP071,KZGMI-2001,"Jukku pallu kaloa, masakan","Ikan, Kerang, Udang",Olahan/Produk,69.4,15,15.2,4.3,8.8,0,0.04,0.17,0.0011,0.605,0.153,0.0006,0.0003,0.0001,0
GP072,KZGMI-2001,"Kaholeo, masakan","Ikan, Kerang, Udang",Olahan/Produk,11.2,413,28.7,19.8,29.8,0,0.909,1.291,0,0,1.171,0.0001,0.0013,0,0
GP073,KZGMI-2001,Lawara penjah,"Ikan, Kerang, Udang",Olahan/Produk,64.5,207,7.4,15.4,9.6,0,0.114,0.219,0.0059,0.683,0.117,0.0005,0.0002,0,0.014
GP074,KZGMI-2001,"Model, masakan","Ikan, Kerang, Udang",Olahan/Produk,83.9,79,2.2,4,8.6,0,0.008,0.033,0.0008,0.147,0.034,0.0001,0.0002,0,0
GP075,KZGPI- 1990,"Mujahir acar kuning, masakan","Ikan, Kerang, Udang",Olahan/Produk,43.1,330,17.8,23.4,12.1,1.1,0.154,0.357,0.0053,0,0,0,0,0,0
GP076,KZGMI-2001,"Parede baleh, masakan","Ikan, Kerang, Udang",Olahan/Produk,80,87,10.5,2.5,5.5,0,0.035,0.215,0.0009,0.416,0.059,0.0001,0.0002,0,0
GP077,KZGMI-2001,"Pempek adaan, masakan","Ikan, Kerang, Udang",Olahan/Produk,62.6,162,4.9,3,27.8,0,0.026,0.116,0.001,0.488,0.119,0.0001,0.0003,0,0
GP078,KZGPI- 1990,"Pempek belida, masakan","Ikan, Kerang, Udang",Olahan/Produk,61.4,156,4.2,1.4,31.6,0.2,0.1,0.055,0.0033,0,0,0,0,0,0
GP079,KZGMI-2001,"Pempek kapal selam, masakan","Ikan, Kerang, Udang",Olahan/Produk,63.4,152,4.5,2.3,28.2,0,0.019,0.115,0.0016,0.628,0.091,0.0001,0.0002,0,0
GP080,KZGPI- 1990,"Pempek kelesan, masakan","Ikan, Kerang, Udang",Olahan/Produk,53,211,12.3,6.1,26.6,0.4,0.84,0.176,0.0018,0,0,0,0.0003,0,0
GP081,KZGMI-2001,"Pempek kulit, masakan","Ikan, Kerang, Udang",Olahan/Produk,45.7,243,5.2,7.3,39.1,0,0.016,0.096,0.002,0.555,0.102,0.0001,0.0002,0,0
GP082,KZGMI-2001,"Pempek telur, masakan","Ikan, Kerang, Udang",Olahan/Produk,62.4,156,4.7,2.7,28.3,0,0.013,0.083,0.0013,0.448,0.048,0.0001,0.0002,0.0001,0
GP083,KZGPI- 1990,"Pempek tenggiri, masakan","Ikan, Kerang, Udang",Olahan/Produk,56.3,173,7.2,1.2,33.4,0.2,0.164,0.08,0.0031,0,0,0,0,0,0
GP084,KZGPI- 1990,"Pencok lele, masakan","Ikan, Kerang, Udang",Olahan/Produk,47.5,372,7.8,36.3,3.5,0,0.289,0.295,0.0053,0,0,0,0.0001,0,0
GP085,KZGMI-2001,Pinda,"Ikan, Kerang, Udang",Olahan/Produk,71,107,15.9,0.6,0.4,0,0.375,0.336,0.0019,0.526,0.33,0.0002,0.0009,0.0001,0
GP086,KZGMI-2001,"Pindang kenari, masakan","Ikan, Kerang, Udang",Olahan/Produk,80.1,124,9.5,9.6,0,0,0.12,0.22,0.0013,0.37,0.27,0.0003,0,0,0.0001
GP087,KZGMI-2001,"Saboko gurita, masakan","Ikan, Kerang, Udang",Olahan/Produk,76.2,87,15.7,1.5,2.6,0,0.06,0.014,0.0021,0.2,0.18,0.0009,0,0,0
GP088,KZGMI-2001,"Saboko saltan, masakan","Ikan, Kerang, Udang",Olahan/Produk,76,113,17.1,3.6,3,0,0.24,0.06,0.0005,0.04,0.35,0.0002,0,0,0
GP089,KZGMI-2001,"Saboko sardin, masakan","Ikan, Kerang, Udang",Olahan/Produk,70,110,12.9,4.3,4.9,0,0.22,0.52,0.006,0.2,0.28,0.0002,0,0,0
GP090,BKP,Sate Bandeng,"Ikan, Kerang, Udang",Olahan/Produk,47.1,283,12.1,16.8,20.9,2,0.118,0.186,0.0012,0.543,0.199,0.0002,0,0,0
GP091,KZGMI-2001,"Sepi, masakan","Ikan, Kerang, Udang",Olahan/Produk,66.1,88,7.9,1.6,10.6,0,0.924,0.35,0.0023,0.873,0.258,0.001,0,0,0
GP092,KZGMI-2001,"Tekwan, masakan","Ikan, Kerang, Udang",Olahan/Produk,86.7,53,1.9,0.9,9.4,0,0.009,0.041,0.001,0.174,0.042,0,0.0001,0,0
GP093,KZGPI- 1990,"Teri belado, masakan","Ikan, Kerang, Udang",Olahan/Produk,25.8,365,23.7,22.3,17.5,0,0.869,0.348,0.004,0,0,0,0.0001,0,0
GP094,KZGMI-2001,"Tumis bandeng, masakan","Ikan, Kerang, Udang",Olahan/Produk,70.5,189,11.3,15.7,0.6,0,0.056,0.129,0.0004,0.314,0.28,0.0001,0.0005,0,0
GP095,KGZMI-2001,Tumis keumamah,"Ikan, Kerang, Udang",Olahan/Produk,45.7,300,14.5,20,15.5,4.5,0,0,0,0,0,0,0.0006,0,0.007
HR001,KZGMI-2001,"Telur ayam kampung, segar",Telur,Tunggal/Single,73.1,174,10.8,14,1.2,0,0.068,0.268,0.0049,0.19,0.141,0.0006,0.0008,0.0006,0
HR002,KZGPI-1990,"Telur ayam ras, segar",Telur,Tunggal/Single,74.3,154,12.4,10.8,0.7,0,0.086,0.258,0.003,0.142,0.1185,0.0002,0.0001,0.0004,0
HR003,DABM-1964,"Telur ayam ras, bagian kuning, segar",Telur,Tunggal/Single,49.4,355,16.3,31.9,0.7,0,0.147,0.586,0.0072,0.111,0.1075,0.0002,0.0003,0.0005,0
HR004,DABM-1964,"Telur Ayam ras, bagian putih, segar",Telur,Tunggal/Single,87.8,50,10.8,0,0.8,0,0.006,0.017,0.0002,0.164,0.1385,0,0,0.0003,0
HR005,KZGMI-2001,"Telur bebek alabio, segar",Telur,Tunggal/Single,70,187,11.8,14.2,3,0,0.06,0.268,0.006,0.115,0.08,0.0006,0.0016,0.0004,0
HR006,DABM-1964,"Telur bebek, bagian  kuning, segar",Telur,Tunggal/Single,47,386,17,35,0.8,0,0.15,0.4,0.007,0.106,0.0907,0.0001,0.0006,0.0007,0
HR007,DABM-1964,"Telur bebek, bagian putih, segar",Telur,Tunggal/Single,88,54,11,0,0.8,0,0.021,0.02,0.0001,0.184,0.1502,0.0001,0,0,0
HR008,KZGMI-2001,"Telur bebek tambak, segar",Telur,Tunggal/Single,67.7,187,10.9,12.4,7.9,0,0.064,0.295,0.0054,0.209,0.146,0.0004,0.0016,0,0
HR009,KZGMI-2001,"Telur burung maleo, segar",Telur,Tunggal/Single,36,436,26.5,36.3,0.4,0,0.154,0.12,0.0043,0.077,0.333,0.0004,0,0.001,0
HR010,KZGMI-2001,"Telur penyu, segar",Telur,Tunggal/Single,7.4,136,8.6,10.1,2.7,0,0.066,0.282,0.0034,0.478,0.115,0.0005,0.0002,0,0
HR011,FCTEA-1972,"Telur burung puyuh, segar",Telur,Tunggal/Single,79.8,116,10.7,7,1.6,0,0.065,0.191,0.0035,0.111,0.011,0.0001,0.0001,0.0007,0
HP001,KZGPI-1990,"Telur ayam, dadar, masakan",Telur,Olahan/Produk,61.9,251,16.3,19.4,1.4,0,0.062,0.25,0.0025,0,0,0,0.0002,0,0
HP002,DABM- 60/64,"Telur bebek, asin, mentah",Telur,Olahan/Produk,66.5,179,13.6,13.3,4.4,0,0.12,0.157,0.0018,0.483,0.1401,0,0.0003,0.001,0
HP003,KZGPI-1990,"Telur bebek, dadar, masakan",Telur,Olahan/Produk,55.1,301,20,23.7,0,0,0.071,0.6,0.0092,0,0,0,0.0004,0,0
HP004,KZGMI-2001,"Ikan, telur, asin, mentah",Telur,Olahan/Produk,37.8,358,20.7,26.4,9.4,0,0.048,0.311,0.0151,2.684,0.059,0.0004,0.0002,0.0005,0
HP005,KGZMI-2001,"Bayau mi balu, masakan",Telur,Olahan/Produk,36.1,313,6,12.2,44.8,0,0,0,0,0,0,0,0.0001,0.0003,0
HP006,KGZMI-2001,"Cucuru bayau, masakan",Telur,Olahan/Produk,35,349,6.8,18.7,38.3,0,0,0,0,0,0,0,0.0001,0.0003,0
HP007,KZGMS-1993,"Kalio telur, masakan",Telur,Olahan/Produk,79,193,10.6,12.4,9.7,0,0.148,0.246,0.0038,0.54,0,0,0.0004,0,0
JR001,DABM-1964,"Kepala susu - krim, segar",Susu,Tunggal/Single,72.5,204,2.6,20,4,0,0.097,0.077,0.0001,0,0,0,0,0.0002,0.001
JR002,FCTEA-1972,Susu ibu - ASI,Susu,Tunggal/Single,88.1,62,1.5,3.2,7,0,0.034,0.02,0.0002,0.015,0.041,0,0,0,0
JR003,DABM-1964,"Susu kambing, segar",Susu,Tunggal/Single,85.9,64,4.3,2.3,6.6,0,0.098,0.078,0.0027,0.035,0.16,0.0003,0.0001,0.0005,0.001
JR004,DABM-1964,"Susu kerbau, segar",Susu,Tunggal/Single,73.8,160,6.3,12,7.1,0,0.216,0.101,0.0002,0.082,0,0,0,0.0001,0.001
JR005,FCTEA-1972,"Susu kuda, segar",Susu,Tunggal/Single,91,40,2,1.1,5.4,0,0,0,0,0,0.0374,0,0,0.0002,0
JR006,DABM-1964,"Susu sapi, segar",Susu,Tunggal/Single,88.3,61,3.2,3.5,4.3,0,0.143,0.06,0.0017,0.036,0.149,0,0,0.0002,0.001
JP001,DABM-1964,Es krim,Susu,Olahan/Produk,62.1,210,4,12.5,20.6,0,0.123,0.099,0.0001,0.078,0.1934,0,0,0.0002,0.001
JP002,DABM-1964,Hangop,Susu,Olahan/Produk,84,65,10,1,3.5,0,0.18,0.19,0.0002,0.126,0.3744,0,0,0.0004,0
JP003,DABM-1964,Keju,Susu,Olahan/Produk,38.5,326,22.8,20.3,13.1,0,0.777,0.338,0.0015,1.41,0.0827,0,0,0.0004,0.001
JP004,DABM-1964,Kwark (Quark),Susu,Olahan/Produk,59,242,19,17,3,0,0.3,0.35,0.0005,0.037,0.0727,0,0,0.0004,0
JP005,DABM-1964,"Susu asam untuk bayi, bubuk",Susu,Olahan/Produk,2.5,418,19,9,65.5,0,0.8,0.6,0.007,0.188,0.4865,0,0.001,0.0013,0.03
JP006,DABM-1964,Susu bubuk,Susu,Olahan/Produk,3.5,513,24.6,30,36.2,0,0.904,0.694,0.0006,0.38,1.33,0,0.0003,0.0014,0.006
JP007,DABM-1964,Susu kental manis,Susu,Olahan/Produk,25,343,8.2,10,55,0,0.275,0.209,0.0002,0.15,0.32,0,0.0001,0.0004,0.001
JP008,DABM-1964,Susu kental tak manis,Susu,Olahan/Produk,73.7,138,7,7.9,9.9,0,0.243,0.195,0.0002,0.14,0.303,0,0.0001,0,0.001
JP009,DABM-1964,"Susu skim, bubuk",Susu,Olahan/Produk,3.5,359,35.6,1,52,0,1.3,1.03,0.0006,0.47,1.745,0,0.0004,0.0011,0.007
JP010,DABM-1964,"Susu skim, segar",Susu,Olahan/Produk,90.5,36,3.5,0.1,5.1,0,0.123,0.097,0.0001,0.038,0,0,0,0,0.001
JP011,DABM-1964,"Yoghurt, segar",Susu,Olahan/Produk,88,52,3.3,2.5,4,0,0.12,0.09,0.0001,0.04,0.299,0,0,0.0001,0
KR001,DABM-1964,"Kelapa setengah tua, daging, segar",Lemak Dan Minyak,Tunggal/Single,70,180,4,15,10,2.4,0.008,0.055,0.0013,0.004,0.3177,0.0003,0.0001,0,0.004
KR002,DABM-1964,"Kelapa tua, daging, segar",Lemak Dan Minyak,Tunggal/Single,46.9,359,3.4,34.7,14,4.7,0.021,0.098,0.002,0.003,0.2939,0.0004,0.0001,0,0.002
KR003,DABM-1964,Lemak babi (lard),Lemak Dan Minyak,Tunggal/Single,0,902,0,100,0,0,0,0,0,0,0,0.009,0,0,0
KR004,DABM-1964,Lemak babi (bacon),Lemak Dan Minyak,Tunggal/Single,20,626,9.1,65,1.1,0,0.013,0.108,0.0008,0,0,0,0.0004,0,0
KR005,KZGMI-2001,Lemak ikan,Lemak Dan Minyak,Tunggal/Single,43.3,372,12,29.4,14.4,0,0.02,0.23,0.0327,0.06,0.052,0.0004,0.0005,0.0001,0
KR006,DABM-1964,Lemak kerbau (lemak sapi),Lemak Dan Minyak,Tunggal/Single,5,818,1.5,90,0,0,0,0,0,0.029,0.0258,0,0,0,0
KR007,DABM-1964,"Minyak hiu, hati",Lemak Dan Minyak,Tunggal/Single,0,902,0,100,0,0,0,0,0,0,0,0,0,0,0
KR008,DABM-1964,Minyak ikan,Lemak Dan Minyak,Tunggal/Single,0,902,0,100,0,0,0,0,0,0,0,0,0,0,0
KR009,DABM-1964,Minyak kacang tanah,Lemak Dan Minyak,Tunggal/Single,0,902,0,100,0,0,0,0,0,0,0,0,0,0,0
KR010,FCTEA-1972,Minyak kedelai,Lemak Dan Minyak,Tunggal/Single,0.1,883,0,99.9,0,0,0,0,0,0,0.0001,0,0,0,0
KR011,DABM-1964,Minyak kelapa,Lemak Dan Minyak,Tunggal/Single,0,870,1,98,0,0,0,0,0,0,0,0,0,0,0
KR012,DABM-1964,Minyak kelapa sawit,Lemak Dan Minyak,Tunggal/Single,0,884,0,100,0,0,0,0,0,0,0,0,0,0,0
KR013,FCTEA-1972,Minyak wijen,Lemak Dan Minyak,Tunggal/Single,0.1,881,0.2,99.7,0,0,0.01,0.005,0.0001,0.002,0.02,0,0,0.0001,0
KR014,DABM- 1964,Minyak zaitun,Lemak Dan Minyak,Tunggal/Single,0,884,0,100,0,0,0.014,0,0.0012,0.007,0,0,0,0,0
OLAHAN/PRODUK/KOMPOSIT,0,0,Lemak Dan Minyak,Tunggal/Single,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KP001,DABM-1964,Margarin,Lemak Dan Minyak,Tunggal/Single,15.5,720,0.6,81,0.4,0,0.02,0.016,0,0.76,0.0259,0,0,0,0
KP002,DABM- 1964,Mentega,Lemak Dan Minyak,Tunggal/Single,16,742,0.5,81.6,1.4,0,0.015,0.016,0.0011,0.653,0.103,0,0,0.0001,0
KP003,DABM-1964,Santan (dengan air),Lemak Dan Minyak,Tunggal/Single,80,122,2,10,7.6,1.4,0.025,0.03,0.0001,0.009,0.1624,0.0002,0,0,0.002
KP004,DABM-1964,Santan murni,Lemak Dan Minyak,Tunggal/Single,54.9,324,4.2,34.3,5.6,0,0.014,0.045,0.0019,0.018,0.5141,0.0004,0,0,0.002
MP001,DABM- 1964,"Coklat manis, batang","Gula, Sirup",Tunggal/Single,1.4,527,2,29.8,62.7,6.5,0.063,0.287,0.0028,0.006,0.4995,0,0,0,0
MP002,DABM- 1964,"Coklat pahit,batang","Gula, Sirup",Tunggal/Single,2.3,615,5.5,42.6,29.2,10.8,0.098,0.446,0.0044,0.02,0.7083,0.0017,0.0001,0.0001,0
MP003,DABM- 1964,"Coklat susu, batang","Gula, Sirup",Tunggal/Single,1,565,9,35,53.6,3.4,0.2,0.2,0.002,0.1,0.4055,0.0005,0.0001,0.0005,0
MP004,DABM- 1964,Coklat bubuk,"Gula, Sirup",Tunggal/Single,3.9,311,8,4,48.9,32.6,0.125,0.715,0.0116,0,0,0,0.0001,0,0
MP005,DABM- 1964,Gula aren,"Gula, Sirup",Tunggal/Single,7,368,0,0,92,0,0.075,0.035,0.003,0.015,0.3904,0,0,0,0
MP006,DABM- 1964,Gula kelapa,"Gula, Sirup",Tunggal/Single,10,386,3,10,76,0,0.076,0.037,0.0026,0.002,0,0,0,0.0003,0
MP007,DABM- 1964,Gula putih,"Gula, Sirup",Tunggal/Single,5.4,394,0,0,94,0,0.005,0.001,0.0001,0.001,0.0048,0,0,0,0
MP008,DABM- 1964,"Jam, selai","Gula, Sirup",Tunggal/Single,34,239,0.5,0.6,64.5,1,0.02,0.02,0.001,0.03,0.0731,0.0001,0,0.0001,0
MP009,FCTEA-1972,Kopi bubuk instant,"Gula, Sirup",Tunggal/Single,2.6,129,12.3,0.5,35,0,0.179,0.383,0.0056,0.072,3.256,0.0001,0,0.0002,0
MP010,DABM- 1964,Madu,"Gula, Sirup",Tunggal/Single,20,294,0.3,0,79.5,0.2,0.005,0.016,0.0009,0.006,0.0269,0,0,0,0.004
MP011,KZGMI-2001,Markisa squash,"Gula, Sirup",Tunggal/Single,46.7,217,2.5,1,49.6,0,0.006,0.083,0.0006,0.014,0.065,0,0.0001,0,0.014
MP012,KZGMI-2001,"Markisa squash, BD","Gula, Sirup",Tunggal/Single,74.4,104,1.2,0.5,23.7,0,0.001,0.088,0.0005,0.04,0.04,0,0.0002,0,0.012
MP013,DABM- 1964,Melase,"Gula, Sirup",Tunggal/Single,21.2,276,0,0.1,71,0,0.006,0.083,0.0006,0.014,0,0,0,0,0
MP014,DABM- 1964,Sirup,"Gula, Sirup",Tunggal/Single,44,213,0,0,55,0,0,0,0,0.003,0.0042,0,0,0,0
MP015,KZGMI-2001,Sirup pirous,"Gula, Sirup",Tunggal/Single,43.3,228,0.2,0.4,55.9,0,0.47,0.093,0.0295,0.003,0.0042,0,0,0,0.008
MP016,FCTEA-1972,Teh hijau daun kering,"Gula, Sirup",Tunggal/Single,7.7,300,28.3,4.8,53.6,9.6,0.245,0.415,0.0189,0.06,5.8739,0.0005,0.0004,0.0012,0.023
MP017,FCTEA-1972,Teh hitam daun kering,"Gula, Sirup",Tunggal/Single,8,293,24.5,2.8,58.8,8.7,0.327,0.313,0.0243,0.05,5.8548,0,0.0001,0.0008,0.009
MP018,FCTEA-1972,Teh melati daun kering,"Gula, Sirup",Tunggal/Single,8.1,299,24.1,3.5,59,9.7,0.32,0.185,0.0316,0.07,5.8484,0.0005,0.0001,0.0008,0.085
NR001,KZGPI- 1990,"Asam arang coklat, segar",Bumbu,Tunggal/Single,66.1,130,0.5,1.1,30.9,1.5,0.079,0.113,0.0043,0.013,0,0,0,0.0002,0
NR002,KZGPI- 1990,"Asam arang merah, segar",Bumbu,Tunggal/Single,75.9,99,0.8,1.6,20.3,2.8,0.069,0.3,0.0046,0.002,0.096,0,0,0.0003,0
NR003,KZGPI- 1990,"Asan kandis, kering",Bumbu,Tunggal/Single,32.2,261,0.9,1.6,63.3,5,0.192,0.657,0.0044,0.026,0.341,0.0004,0,0,0
NR004,KZGPI- 1990,"Asam kandis, segar",Bumbu,Tunggal/Single,81.5,75,0.2,1.1,16.1,3.4,0.063,0.139,0.0025,0.093,0.093,0.0001,0,0,0
NR005,DABM-1964,"Asam masak pohon, segar",Bumbu,Tunggal/Single,31.4,267,2.8,0.6,62.5,1.2,0.074,0.113,0.0006,0.009,0.139,0.0001,0.0003,0,0.002
NR006,KZGPI- 1990,"Asam payak, segar",Bumbu,Tunggal/Single,65.1,135,0.8,0.4,32.1,10,0.06,0.039,0.0057,0,0,0,0,0,0
NR007,DABM-1964,"Bawang merah, segar",Bumbu,Tunggal/Single,88,46,1.5,0.3,9.2,1.7,0.036,0.04,0.0008,0.007,0.179,0.0001,0,0,0.002
NR008,DABM-1964,"Bawang putih, segar",Bumbu,Tunggal/Single,71,112,4.5,0.2,23.1,0.6,0.042,0.134,0.001,0.046,0.666,0.0001,0.0002,0.0001,0.015
NR009,DABM-1964,"Boros kunci, segar",Bumbu,Tunggal/Single,90,40,1,0.8,7.2,1,0.05,0.05,0.002,0.033,0.48,0,0.0001,0.0007,0.05
NR010,DABM-1964,"Boros laja (lengkuas), segar",Bumbu,Tunggal/Single,93,26,1,0.3,4.7,1.1,0.05,0.05,0.002,0.024,0.137,0.0001,0.0001,0.0001,0.05
NR011,KZGPI- 1990,"Cabai gembor merah, segar",Bumbu,Tunggal/Single,90.8,38,1.6,0.8,6.3,1.6,0.049,0.041,0.0011,0.007,0.275,0.0001,0.0002,0.0001,0.016
NR012,DABM-1964,"Cabai hijau, segar",Bumbu,Tunggal/Single,93.4,26,0.7,0.3,5.2,2.6,0.014,0.023,0.0004,0.007,0.151,0.0001,0.0001,0.0001,0.084
NR013,DABM-1964,"Cabai merah, kering",Bumbu,Tunggal/Single,10,367,15.9,6.2,61.8,26.9,0.16,0.37,0.0023,0.025,0.1815,0.0012,0.0004,0.0014,0.05
NR014,DABM-1964,"Cabai merah, segar",Bumbu,Tunggal/Single,90.9,36,1,0.3,7.3,1.4,0.029,0.024,0.0005,0.023,0.2724,0.0001,0.0001,0.0001,0.018
NR015,DABM-1964,"Cabai rawit, segar",Bumbu,Tunggal/Single,71.2,120,4.7,2.4,19.9,15.2,0.045,0.085,0.0025,0.034,0.7062,0.0003,0.0002,0.0001,0.07
NR016,DABM-1964,"Cengkeh, kering",Bumbu,Tunggal/Single,23.3,330,5.2,8.9,57.4,10,0.74,0.1,0.0049,0.282,0.961,0.0003,0.2,0,0
NR017,FCTEA-1972,"Daun salam, bubuk",Bumbu,Tunggal/Single,13.1,301,14.2,10.9,49,9.4,0.086,0.25,0.0441,0.18,0.619,0.0013,0.0001,0.0003,0
NR018,DABM-1964,"Jahe, segar",Bumbu,Tunggal/Single,55,51,1.5,1,10.1,12,0.021,0.039,0.0016,0.012,0.4417,0.0005,0,0.0002,0.004
NR019,DABM-1964,Kemiri,Bumbu,Tunggal/Single,7,675,19,63,8,3,0.08,0.2,0.002,0.025,0.4307,0.0002,0.0001,0.0001,0
NR020,DABM-1964,"Ketumbar, kering",Bumbu,Tunggal/Single,11.2,418,14.1,16.1,54.2,12.3,0.63,0.37,0.0179,0.091,1.787,0.001,0.0002,0.0004,0
NR021,DABM-1964,Kluwek,Bumbu,Tunggal/Single,51,310,10,24,13.5,0,0.04,0.1,0.002,0,0,0,0.0002,0,0.03
NR022,DABM-1964,"Kunyit, segar",Bumbu,Tunggal/Single,84.9,69,2,2.7,9.1,0.6,0.024,0.078,0.0033,0.006,0.4067,0.0001,0,0,0.001
NR023,DABM-1964,"Merica, kering",Bumbu,Tunggal/Single,12.9,365,11.5,6.8,64.4,1,0.46,0.2,0.0164,0.004,0.0997,0.0009,0.0002,0.0001,0
NR024,DABM-1964,"Pala, biji, kering",Bumbu,Tunggal/Single,14.3,518,7.5,36.4,40.1,3.5,0.12,0.24,0.0046,0.002,0.0787,0.0009,0.0002,0,0
NP001,KZGMI-2001,Balichong,Bumbu,Olahan/Produk,59.9,152,13.2,0.8,22.9,1.5,0.38,0.21,0.0029,0.12,0.31,0.0008,0,0.0001,0
NP002,KZGMI-2001,Bekasam,Bumbu,Olahan/Produk,65.5,116,11.9,4.9,6.1,3.5,0.704,0.757,0.0075,0.711,0.176,0.0008,0,0,0
NP003,KZGMI-2001,Bekasang,Bumbu,Olahan/Produk,67.1,78,11.4,2,3.6,0.4,0.054,0.097,0.0026,4.016,0.121,0.0002,0.0002,0.0001,0
NP004,DABM-1964,Cuka,Bumbu,Olahan/Produk,94.5,21,0.1,0.1,5,0,0.007,0.01,0.0005,0.021,0.0378,0,0.0002,0,0
NP005,DABM-1964,Kecap,Bumbu,Olahan/Produk,63,71,5.7,1.3,9,0,0.123,0.096,0.0057,1.114,0,0,0,0,0
NP006,DABM-1964,Petis ikan,Bumbu,Olahan/Produk,56,165,20,0.2,20.8,0,0.037,0.036,0.0028,0,0,0,0,0.0002,0
NP007,KZGPI- 1990,Petis udang kering,Bumbu,Olahan/Produk,8.3,345,23.8,1.4,59.3,0,0.221,0.397,0.0038,1.199,0.4628,0.0008,0.001,0.0004,0
